period,country,year,month,demonstrations_events,civilian_targeting_events,civilian_targeting_fatalities,political_violence_events,political_violence_fatalities,total_events,total_fatalities
2023-11,Kenya,2023,11,101,52,40,76,58,229,98
2023-12,Kenya,2023,12,68,41,39,77,59,186,98
2024-01,Kenya,2024,1,140,51,36,76,54,267,90
2024-02,Kenya,2024,2,125,56,36,90,52,271,88
2024-03,Kenya,2024,3,94,76,51,113,93,283,144
2024-04,Kenya,2024,4,92,38,20,64,40,194,60
2024-05,Kenya,2024,5,206,45,27,85,47,336,74
2024-06,Kenya,2024,6,245,57,29,85,60,387,89
2024-07,Kenya,2024,7,251,65,41,96,75,412,116
2024-08,Kenya,2024,8,235,51,33,87,61,373,94
2024-09,Kenya,2024,9,221,64,64,133,81,418,145
2024-10,Kenya,2024,10,132,53,26,93,76,278,102
2024-11,Kenya,2024,11,134,58,26,88,38,280,64
2024-12,Kenya,2024,12,133,49,13,75,36,257,49
2025-01,Kenya,2025,1,153,70,39,91,56,314,95
2025-02,Kenya,2025,2,135,58,34,82,91,275,125
2025-03,Kenya,2025,3,137,77,44,127,75,341,119
2025-04,Kenya,2025,4,112,62,49,102,69,276,118
2025-05,Kenya,2025,5,137,68,39,96,54,301,93
2025-06,Kenya,2025,6,205,133,86,175,103,513,189
2025-07,Kenya,2025,7,191,93,76,136,93,420,169
2025-08,Kenya,2025,8,117,71,43,100,59,288,102
2025-09,Kenya,2025,9,217,81,49,126,70,424,119
2025-10,Kenya,2025,10,139,69,52,100,74,308,126
2025-11,Kenya,2025,11,107,83,39,126,61,316,100
2025-12,Kenya,2025,12,100,72,55,108,86,280,141
2026-01,Kenya,2026,1,136,94,64,134,109,364,173
2026-02,Kenya,2026,2,98,38,30,59,41,195,71
